name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
SEYS Joaquin,Belgium,DEF,BEL,,,
MOREIRA Diego,Belgium,MID,BEL,,,
VANAKEN Hans,Belgium,MID,BEL,,,
CASTAGNE Timothy,Belgium,DEF,BEL,,,
SAELEMAEKERS Alexis,Belgium,MID,BEL,,,
RASKIN Nicolas,Belgium,MID,BEL,,,
ONANA Amadou,Belgium,MID,BEL,,,
NGOY Nathan,Belgium,DEF,BEL,,,
FERNANDEZ-PARDO Matias,Belgium,FWD,BEL,,,
VASILJ Nikola,Bosnia And Herzegovina,GK,BIH,,,
MUJAKIC Nihad,Bosnia And Herzegovina,DEF,BIH,,,
HADZIKADUNIC Dennis,Bosnia And Herzegovina,DEF,BIH,,,
MUHAREMOVIC Tarik,Bosnia And Herzegovina,DEF,BIH,,,
KOLASINAC Sead,Bosnia And Herzegovina,DEF,BIH,,,
TAHIROVIC Benjamin,Bosnia And Herzegovina,MID,BIH,,,
DEDIC Amar,Bosnia And Herzegovina,DEF,BIH,,,
GIGOVIC Armin,Bosnia And Herzegovina,MID,BIH,,,
BAZDAR Samed,Bosnia And Herzegovina,FWD,BIH,,,
DEMIROVIC Ermedin,Bosnia And Herzegovina,FWD,BIH,,,
DZEKO Edin,Bosnia And Herzegovina,FWD,BIH,,,
JURKAS Mladen,Bosnia And Herzegovina,GK,BIH,,,
BASIC Ivan,Bosnia And Herzegovina,MID,BIH,,,
SUNJIC Ivan,Bosnia And Herzegovina,MID,BIH,,,
MEMIC Amar,Bosnia And Herzegovina,MID,BIH,,,
HADZIAHMETOVIC Amir,Bosnia And Herzegovina,MID,BIH,,,
BURNIC Dzenis,Bosnia And Herzegovina,MID,BIH,,,
KATIC Nikola,Bosnia And Herzegovina,DEF,BIH,,,
ALAJBEGOVIC Kerim,Bosnia And Herzegovina,FWD,BIH,,,
BAJRAKTAREVIC Esmir,Bosnia And Herzegovina,FWD,BIH,,,
RADELJIC Stjepan,Bosnia And Herzegovina,DEF,BIH,,,
ZLOMISLIC Martin,Bosnia And Herzegovina,GK,BIH,,,
TABAKOVIC Haris,Bosnia And Herzegovina,FWD,BIH,,,
CELIK Nidal,Bosnia And Herzegovina,DEF,BIH,,,
LUKIC Jovo,Bosnia And Herzegovina,FWD,BIH,,,
MAHMIC Ermin,Bosnia And Herzegovina,MID,BIH,,,
ALISSON,Brazil,GK,BRA,,,
WESLEY,Brazil,DEF,BRA,,,
GABRIEL MAGALHAES,Brazil,DEF,BRA,,,
MARQUINHOS,Brazil,DEF,BRA,,,
CASEMIRO,Brazil,MID,BRA,,,
ALEX SANDRO,Brazil,DEF,BRA,,,
VINICIUS JUNIOR,Brazil,FWD,BRA,,,
BRUNO GUIMARAES,Brazil,MID,BRA,,,
MATHEUS CUNHA,Brazil,FWD,BRA,,,
NEYMAR JR,Brazil,FWD,BRA,,,
RAPHINHA,Brazil,FWD,BRA,,,
WEVERTON,Brazil,GK,BRA,,,
DANILO,Brazil,DEF,BRA,,,
BREMER,Brazil,DEF,BRA,,,
LEO PEREIRA,Brazil,DEF,BRA,,,
DOUGLAS SANTOS,Brazil,DEF,BRA,,,
FABINHO,Brazil,MID,BRA,,,
DANILO SANTOS,Brazil,MID,BRA,,,
ENDRICK,Brazil,FWD,BRA,,,
LUCAS PAQUETA,Brazil,MID,BRA,,,
LUIZ HENRIQUE,Brazil,FWD,BRA,,,
GABRIEL MARTINELLI,Brazil,FWD,BRA,,,
EDERSON,Brazil,GK,BRA,,,
ROGER IBANEZ,Brazil,DEF,BRA,,,
IGOR THIAGO,Brazil,FWD,BRA,,,
RAYAN,Brazil,FWD,BRA,,,
VOZINHA,Cabo Verde,GK,CPV,,,
STOPIRA,Cabo Verde,DEF,CPV,,,
DINEY BORGES,Cabo Verde,DEF,CPV,,,
PICO LOPES,Cabo Verde,DEF,CPV,,,
LOGAN COSTA,Cabo Verde,DEF,CPV,,,
KEVIN PINA,Cabo Verde,MID,CPV,,,
JOVANE CABRAL,Cabo Verde,MID,CPV,,,
JOAO PAULO,Cabo Verde,MID,CPV,,,
GILSON BENCHIMOL,Cabo Verde,FWD,CPV,,,
JAMIRO MONTEIRO,Cabo Verde,MID,CPV,,,
GARRY RODRIGUES,Cabo Verde,MID,CPV,,,
MARCIO ROSA,Cabo Verde,GK,CPV,,,
SIDNY LOPES CABRAL,Cabo Verde,DEF,CPV,,,
DEROY DUARTE,Cabo Verde,MID,CPV,,,
LAROS DUARTE,Cabo Verde,MID,CPV,,,
YANNICK SEMEDO,Cabo Verde,MID,CPV,,,
WILLY SEMEDO,Cabo Verde,MID,CPV,,,
TELMO ARCANJO,Cabo Verde,MID,CPV,,,
DAILON LIVRAMENTO,Cabo Verde,FWD,CPV,,,
RYAN MENDES,Cabo Verde,FWD,CPV,,,
NUNO DA COSTA,Cabo Verde,MID,CPV,,,
STEVEN MOREIRA,Cabo Verde,DEF,CPV,,,
CJ DOS SANTOS,Cabo Verde,GK,CPV,,,
WAGNER PINA,Cabo Verde,DEF,CPV,,,
KELVIN PIRES,Cabo Verde,DEF,CPV,,,
HELIO VARELA,Cabo Verde,MID,CPV,,,
ST. CLAIR Dayne,Canada,GK,CAN,,,
JOHNSTON Alistair,Canada,DEF,CAN,,,
JONES Ale,Canada,DEF,CAN,,,
DE FOUGEROLLES Luc,Canada,DEF,CAN,,,
WATERMAN Joel,Canada,DEF,CAN,,,
CHOINIERE Mathieu,Canada,MID,CAN,,,
EUSTAQUIO Stephen,Canada,MID,CAN,,,
KONE Ismael,Canada,MID,CAN,,,
LARIN Cyle,Canada,FWD,CAN,,,
DAVID Jonathan,Canada,FWD,CAN,,,
MILLAR Liam,Canada,MID,CAN,,,
OLUWASEYI Tani,Canada,FWD,CAN,,,
CORNELIUS Derek,Canada,DEF,CAN,,,
SHAFFELBURG Jacob,Canada,MID,CAN,,,
BOMBITO Moise,Canada,DEF,CAN,,,
CREPEAU Maxime,Canada,GK,CAN,,,
BUCHANAN Tajon,Canada,FWD,CAN,,,
GOODMAN Owen,Canada,GK,CAN,,,
DAVIES Alphonso,Canada,DEF,CAN,,,
AHMED Ali,Canada,FWD,CAN,,,
OSORIO Jonathan,Canada,MID,CAN,,,
LARYEA Richie,Canada,DEF,CAN,,,
SIGUR Niko,Canada,DEF,CAN,,,
DAVID Promise,Canada,FWD,CAN,,,
