name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
ZIGI Lawrence Ati,Ghana,GK,GHA,,,
SEIDU Alidu,Ghana,DEF,GHA,,,
YIRENKYI Caleb,Ghana,MID,GHA,,,
ADJETEY Jonas,Ghana,DEF,GHA,,,
PARTEY Thomas,Ghana,MID,GHA,,,
MUMIN Abdul,Ghana,DEF,GHA,,,
ISSAHAKU Fatawu,Ghana,FWD,GHA,,,
SIBO Kwasi,Ghana,MID,GHA,,,
AYEW Jordan,Ghana,FWD,GHA,,,
THOMAS-ASANTE Brandon,Ghana,FWD,GHA,,,
SEMENYO Antoine,Ghana,MID,GHA,,,
ANANG Joseph,Ghana,GK,GHA,,,
BAAH Christopher Bonsu,Ghana,FWD,GHA,,,
MENSAH Gideon,Ghana,DEF,GHA,,,
OWUSU Elisha,Ghana,MID,GHA,,,
ASARE Benjamin,Ghana,GK,GHA,,,
RAHMAN Baba,Ghana,DEF,GHA,,,
OPOKU Jerome,Ghana,DEF,GHA,,,
WILLIAMS Inaki,Ghana,FWD,GHA,,,
BOAKYE Augustine,Ghana,MID,GHA,,,
OPPONG Kojo Peprah,Ghana,DEF,GHA,,,
SULEMANA Kamaldeen,Ghana,FWD,GHA,,,
LUCKASSEN Derrick,Ghana,DEF,GHA,,,
NUAMAH Ernest,Ghana,FWD,GHA,,,
ADU Prince,Ghana,FWD,GHA,,,
SENAYA Marvin,Ghana,DEF,GHA,,,
PLACIDE Johny,Haiti,GK,HAI,,,
ARCUS Carlens,Haiti,DEF,HAI,,,
THERMONCY Keeto,Haiti,DEF,HAI,,,
ADE Ricardo,Haiti,DEF,HAI,,,
DELCROIX Hannes,Haiti,DEF,HAI,,,
SAINTE Carl,Haiti,MID,HAI,,,
ETIENNE Derrick,Haiti,FWD,HAI,,,
EXPERIENCE Martin,Haiti,DEF,HAI,,,
NAZON Duckens,Haiti,FWD,HAI,,,
BELLEGARDE Jean-RicnerJean Ricner,Haiti,MID,HAI,,,
DEEDSON Louicius,Haiti,FWD,HAI,,,
PIERRE Alexandre,Haiti,GK,HAI,,,
LACROIX Markhus,Haiti,DEF,HAI,,,
PIERRE Leverton,Haiti,MID,HAI,,,
PROVIDENCE Ruben,Haiti,FWD,HAI,,,
JOSEPH Lenny,Haiti,FWD,HAI,,,
JEAN JACQUES Danley,Haiti,MID,HAI,,,
ISIDOR Wilson,Haiti,FWD,HAI,,,
FORTUNE Yassin,Haiti,FWD,HAI,,,
PIERROT Frantzdy,Haiti,FWD,HAI,,,
CASIMIR Josue,Haiti,FWD,HAI,,,
DUVERNE Jean-Kevin,Haiti,DEF,HAI,,,
DUVERGER Josue,Haiti,GK,HAI,,,
PAUGAIN Wilguens,Haiti,DEF,HAI,,,
SIMON Dominique,Haiti,MID,HAI,,,
PIERRE Woodensky,Haiti,MID,HAI,,,
BEIRANVAND Alireza,IR Iran,GK,IRN,,,
HARDANI Saleh,IR Iran,DEF,IRN,,,
HAJISAFI Ehsan,IR Iran,DEF,IRN,,,
KHALILZADEH Shoja,IR Iran,DEF,IRN,,,
MOHAMM ADI Milad,IR Iran,DEF,IRN,,,
EZATOLAHI Saeid,IR Iran,MID,IRN,,,
JAHANBAKHSH Alireza,IR Iran,MID,IRN,,,
MOHEBBI Mohammad,IR Iran,MID,IRN,,,
TAREMI Mehdi,IR Iran,FWD,IRN,,,
GHAYEDI Mehdi,IR Iran,FWD,IRN,,,
ALIPOUR Ali,IR Iran,FWD,IRN,,,
NIAZMAND Payam,IR Iran,GK,IRN,,,
KANANI Hossein,IR Iran,DEF,IRN,,,
GHODDOS Saman,IR Iran,MID,IRN,,,
CHESHMI Roozbeh,IR Iran,MID,IRN,,,
TORABI Mehdi,IR Iran,MID,IRN,,,
YOUSEFI Arya,IR Iran,DEF,IRN,,,
HOSSEINZADEH Amirhossein,IR Iran,FWD,IRN,,,
NEMATI Ali,IR Iran,DEF,IRN,,,
MOGHANLOO Shahriyar,IR Iran,FWD,IRN,,,
GHORBANI Mohammad,IR Iran,MID,IRN,,,
HOSSEINI Hossein,IR Iran,GK,IRN,,,
REZAEIAN Ramin,IR Iran,DEF,IRN,,,
DARGAHI Dennis,IR Iran,FWD,IRN,,,
IRI Danial,IR Iran,DEF,IRN,,,
RAZAGHINIA Amirmohammad,IR Iran,MID,IRN,,,
FAHAD TALIB,Iraq,GK,IRQ,,,
REBIN GHAREEB,Iraq,DEF,IRQ,,,
HUSSEIN ALI,Iraq,DEF,IRQ,,,
ZAID TAHSEEN,Iraq,DEF,IRQ,,,
AKAM HASHIM,Iraq,DEF,IRQ,,,
MUNAF YOUNUS,Iraq,DEF,IRQ,,,
YOUSSEF AMYN,Iraq,MID,IRQ,,,
IBRAHIM BAYESH,Iraq,MID,IRQ,,,
ALI ALHAMADI,Iraq,FWD,IRQ,,,
MOHANAD ALI,Iraq,FWD,IRQ,,,
AHMED QASIM,Iraq,FWD,IRQ,,,
JALAL HASSAN,Iraq,GK,IRQ,,,
ALI YOUSIF,Iraq,FWD,IRQ,,,
ZIDANE IQBAL,Iraq,MID,IRQ,,,
AHMED YAHYA,Iraq,DEF,IRQ,,,
AMIR ALAMM ARI,Iraq,MID,IRQ,,,
ALI JASIM,Iraq,FWD,IRQ,,,
AYMEN HUSSEIN,Iraq,FWD,IRQ,,,
KEVIN YAKOB,Iraq,MID,IRQ,,,
AIMAR SHER,Iraq,MID,IRQ,,,
MARKO FARJI,Iraq,FWD,IRQ,,,
AHMED BASIL,Iraq,GK,IRQ,,,
MERCHAS DOSKI,Iraq,DEF,IRQ,,,
ZAID ISMAEL,Iraq,MID,IRQ,,,
MUSTAFA SAADOON,Iraq,DEF,IRQ,,,
FRANS PUTROS,Iraq,DEF,IRQ,,,
SUZUKI Zion,Japan,GK,JPN,,,
SUGAWARA Yukinari,Japan,DEF,JPN,,,
TANIGUCHI Shogo,Japan,DEF,JPN,,,
ITAKURA Kou,Japan,DEF,JPN,,,
NAGATOMO Yuto,Japan,DEF,JPN,,,
ENDO Wataru,Japan,MID,JPN,,,
TANAKA Ao,Japan,MID,JPN,,,
KUBO Takefusa,Japan,MID,JPN,,,
GOTO Keisuke,Japan,FWD,JPN,,,
DOAN Ritsu,Japan,MID,JPN,,,
MAEDA Daizen,Japan,MID,JPN,,,
OSAKO Keisuke,Japan,GK,JPN,,,
NAKAMURA Keito,Japan,MID,JPN,,,
ITO Junya,Japan,MID,JPN,,,
KAMADA Daichi,Japan,MID,JPN,,,
WATANABE Tsuyoshi,Japan,DEF,JPN,,,
SUZUKI Yuito,Japan,MID,JPN,,,
UEDA Ayase,Japan,FWD,JPN,,,
OGAWA Koki,Japan,FWD,JPN,,,
SEKO Ayumu,Japan,DEF,JPN,,,
ITO Hiroki,Japan,DEF,JPN,,,
TOMIYASU Takehiro,Japan,DEF,JPN,,,
HAYAKAWA Tomoki,Japan,GK,JPN,,,
SANO Kaishu,Japan,MID,JPN,,,
SUZUKI Junnosuke,Japan,DEF,JPN,,,
SHIOGAI Kento,Japan,FWD,JPN,,,
YAZEED ABULAILA,Jordan,GK,JOR,,,
MOHAMM AD ABUHASHEESH,Jordan,DEF,JOR,,,
ABDALLAH NASIB,Jordan,DEF,JOR,,,
HUSAM ABUDAHAB,Jordan,DEF,JOR,,,
YAZAN ALARAB,Jordan,DEF,JOR,,,
AMER JAMOUS,Jordan,MID,JOR,,,
MOHAMM AD ABUZRAIQ,Jordan,FWD,JOR,,,
NOOR ALRAWABDEH,Jordan,MID,JOR,,,
ALI OLWAN,Jordan,FWD,JOR,,,
MOUSA ALTAMARI,Jordan,FWD,JOR,,,
ODEH FAKHOURY,Jordan,FWD,JOR,,,
NOUR BANIATEYAH,Jordan,GK,JOR,,,
MAHMOUD ALMARDI,Jordan,FWD,JOR,,,
RAJAEI AYED,Jordan,MID,JOR,,,
IBRAHIM SADEH,Jordan,MID,JOR,,,
MOHAMM AD ABUALNADI,Jordan,DEF,JOR,,,
SALEEM OBAID,Jordan,DEF,JOR,,,
IBRAHIM SABRA,Jordan,FWD,JOR,,,
SAED ALROSAN,Jordan,DEF,JOR,,,
MOHANNAD ABUTAHA,Jordan,MID,JOR,,,
NIZAR ALRASHDAN,Jordan,MID,JOR,,,
ABDALLAH ALFAKHORI,Jordan,GK,JOR,,,
EHSAN HADDAD,Jordan,DEF,JOR,,,
ALI AZAIZEH,Jordan,FWD,JOR,,,
MOHAMM AD ALDAOUD,Jordan,MID,JOR,,,
ANAS BADAWI,Jordan,DEF,JOR,,,
KIM Seunggyu,Korea Republic,GK,KOR,,,
LEE Hanbeom,Korea Republic,DEF,KOR,,,
LEE Gihyuk,Korea Republic,MID,KOR,,,
KIM Minjae,Korea Republic,DEF,KOR,,,
KIM Taehyeon,Korea Republic,DEF,KOR,,,
HWANG Inbeom,Korea Republic,MID,KOR,,,
SON Heungmin,Korea Republic,FWD,KOR,,,
PAIK Seungho,Korea Republic,MID,KOR,,,
CHO Guesung,Korea Republic,FWD,KOR,,,
LEE Jaesung,Korea Republic,MID,KOR,,,
HWANG Heechan,Korea Republic,MID,KOR,,,
SONG Bumkeun,Korea Republic,GK,KOR,,,
LEE Taeseok,Korea Republic,DEF,KOR,,,
CHO Wije,Korea Republic,DEF,KOR,,,
KIM Moonhwan,Korea Republic,DEF,KOR,,,
PARK Jinseob,Korea Republic,DEF,KOR,,,
BAE Junho,Korea Republic,MID,KOR,,,
OH Hyeongyu,Korea Republic,FWD,KOR,,,
LEE Kangin,Korea Republic,MID,KOR,,,
YANG Hyunjun,Korea Republic,MID,KOR,,,
JO Hyeonwoo,Korea Republic,GK,KOR,,,
SEOL Youngwoo,Korea Republic,DEF,KOR,,,
CASTROP Jens,Korea Republic,DEF,KOR,,,
KIM Jingyu,Korea Republic,MID,KOR,,,
EOM Jisung,Korea Republic,MID,KOR,,,
LEE Donggyeong,Korea Republic,MID,KOR,,,
RANGEL Raul,Mexico,GK,MEX,,,
SANCHEZ Jorge,Mexico,DEF,MEX,,,
MONTES Cesar,Mexico,DEF,MEX,,,
ALVAREZ Edson,Mexico,DEF,MEX,,,
VASQUEZ Johan,Mexico,DEF,MEX,,,
LIRA Erik,Mexico,MID,MEX,,,
ROMO Luis,Mexico,MID,MEX,,,
FIDALGO Alvaro,Mexico,MID,MEX,,,
JIMENEZ Raul,Mexico,FWD,MEX,,,
VEGA Alexis,Mexico,FWD,MEX,,,
GIMENEZ Santiago,Mexico,FWD,MEX,,,
ACEVEDO Carlos,Mexico,GK,MEX,,,
OCHOA Guillermo,Mexico,GK,MEX,,,
GONZALEZ Armando,Mexico,FWD,MEX,,,
REYES Israel,Mexico,DEF,MEX,,,
QUINONES Julian,Mexico,FWD,MEX,,,
PINEDA Orbelin,Mexico,MID,MEX,,,
VARGAS Obed,Mexico,MID,MEX,,,
MORA Gilberto,Mexico,MID,MEX,,,
CHAVEZ Mateo,Mexico,DEF,MEX,,,
HUERTA Cesar,Mexico,FWD,MEX,,,
MARTINEZ Guillermo,Mexico,FWD,MEX,,,
GALLARDO Jesus,Mexico,DEF,MEX,,,
CHAVEZ Luis,Mexico,MID,MEX,,,
ALVARADO Roberto,Mexico,FWD,MEX,,,
GUTIERREZ Brian,Mexico,MID,MEX,,,
BOUNOU Yassine,Morocco,GK,MAR,,,
HAKIMI Achraf,Morocco,DEF,MAR,,,
MAZRAOUI Noussair,Morocco,DEF,MAR,,,
AMRABAT Sofyan,Morocco,MID,MAR,,,
AGUERD Nayef,Morocco,DEF,MAR,,,
BOUADDI Ayyoub,Morocco,MID,MAR,,,
TALBI Chemsdine,Morocco,MID,MAR,,,
OUNAHI Azzedine,Morocco,MID,MAR,,,
RAHIMI Souane,Morocco,FWD,MAR,,,
DIAZ Brahim,Morocco,FWD,MAR,,,
SAIBARI Ismael,Morocco,MID,MAR,,,
EL KAJOUI Munir,Morocco,GK,MAR,,,
EL OUAHDI Zakaria,Morocco,DEF,MAR,,,
DIOP Issa,Morocco,DEF,MAR,,,
EL MOURABET Samir,Morocco,MID,MAR,,,
YASSINE Gessime,Morocco,MID,MAR,,,
EZZALZOULI Abde,Morocco,FWD,MAR,,,
RIAD Chadi,Morocco,DEF,MAR,,,
BELAMM ARI Youssef,Morocco,DEF,MAR,,,
EL KAABI Ayoub,Morocco,FWD,MAR,,,
AMAIMOUNI Ayoub,Morocco,FWD,MAR,,,
TAGNAOUTI Ahmed Reda,Morocco,GK,MAR,,,
EL KHANNOUSS Bilal,Morocco,MID,MAR,,,
EL AYNAOUI Neil,Morocco,MID,MAR,,,
HALHAL Redouane,Morocco,DEF,MAR,,,
SALAH EDDINE Anass,Morocco,DEF,MAR,,,
VERBRUGGEN Bart,Netherlands,GK,NED,,,
TIMBER Jurrien,Netherlands,DEF,NED,,,
DE ROON Marten,Netherlands,MID,NED,,,
VAN DIJK Virgil,Netherlands,DEF,NED,,,
AKE Nathan,Netherlands,DEF,NED,,,
VAN HECKE Jan Paul,Netherlands,DEF,NED,,,
KLUIVERT Justin,Netherlands,MID,NED,,,
GRAVENBERCH Ryan,Netherlands,MID,NED,,,
WEGHORST Wout,Netherlands,FWD,NED,,,
DEPAY Memphis,Netherlands,FWD,NED,,,
GAKPO Cody,Netherlands,FWD,NED,,,
WIEFFER Mats,Netherlands,DEF,NED,,,
ROEFS Robin,Netherlands,GK,NED,,,
REIJNDERS Tijjani,Netherlands,MID,NED,,,
VAN DE VEN Micky,Netherlands,DEF,NED,,,
TIL Guus,Netherlands,MID,NED,,,
LANG Noa,Netherlands,FWD,NED,,,
MALEN Donyell,Netherlands,FWD,NED,,,
BROBBEY Brian,Netherlands,FWD,NED,,,
KOOPMEINERS Teun,Netherlands,MID,NED,,,
DE JONG Frenkie,Netherlands,MID,NED,,,
DUMFRIES Denzel,Netherlands,DEF,NED,,,
FLEKKEN Mark,Netherlands,GK,NED,,,
SUMMERVILLE Crysencio,Netherlands,FWD,NED,,,
HATO Jorrel,Netherlands,DEF,NED,,,
TIMBER Quinten,Netherlands,MID,NED,,,
CROCOMBE Max,New Zealand,GK,NZL,,,
PAYNE Tim,New Zealand,DEF,NZL,,,
DE VRIES Francis,New Zealand,DEF,NZL,,,
BINDON Tyler,New Zealand,DEF,NZL,,,
BOXALL Michael,New Zealand,DEF,NZL,,,
BELL Joe,New Zealand,MID,NZL,,,
GARBETT Matthew,New Zealand,MID,NZL,,,
STAMENIC Marko,New Zealand,MID,NZL,,,
WOOD Chris,New Zealand,FWD,NZL,,,
SINGH Sarpreet,New Zealand,MID,NZL,,,
JUST Elijah,New Zealand,MID,NZL,,,
PAULSEN Alex,New Zealand,GK,NZL,,,
CACACE Liberato,New Zealand,DEF,NZL,,,
RUFER Alex,New Zealand,MID,NZL,,,
PIJNAKER Nando,New Zealand,DEF,NZL,,,
SURMAN Finn,New Zealand,DEF,NZL,,,
BARBAROUSES Kosta,New Zealand,FWD,NZL,,,
WAINE Ben,New Zealand,FWD,NZL,,,
OLD Ben,New Zealand,MID,NZL,,,
McCOWATT Callum,New Zealand,MID,NZL,,,
RANDALL Jesse,New Zealand,FWD,NZL,,,
WOUD Michael,New Zealand,GK,NZL,,,
THOMAS Ryan,New Zealand,MID,NZL,,,
ELLIOT Callan,New Zealand,DEF,NZL,,,
BAYLISS Lachlan,New Zealand,MID,NZL,,,
SMITH Tommy,New Zealand,DEF,NZL,,,
NYLAND Orjan,Norway,GK,NOR,,,
THORSBY Morten,Norway,MID,NOR,,,
AJER Kristoffer,Norway,DEF,NOR,,,
OSTIGARD Leo,Norway,DEF,NOR,,,
MOLLER WOLFE David,Norway,DEF,NOR,,,
BERG Patrick,Norway,MID,NOR,,,
SORLOTH Alexander,Norway,FWD,NOR,,,
BERGE Sander,Norway,MID,NOR,,,
HAALAND Erling,Norway,FWD,NOR,,,
ODEGAARD Martin,Norway,MID,NOR,,,
STRAND LARSEN Jorgen,Norway,FWD,NOR,,,
TANGVIK Sander,Norway,GK,NOR,,,
SELVIK Egil,Norway,GK,NOR,,,
AURSNES Fredrik,Norway,MID,NOR,,,
BJORKAN Fredrik Andre,Norway,DEF,NOR,,,
HOLMGREN PEDERSEN Marcus,Norway,DEF,NOR,,,
HEGGEM Torbjorn,Norway,DEF,NOR,,,
THORSTVEDT Kristian,Norway,MID,NOR,,,
AASGAARD Thelo,Norway,MID,NOR,,,
NUSA Antonio,Norway,FWD,NOR,,,
SCHJELDERUP Andreas,Norway,MID,NOR,,,
BOBB Oscar,Norway,MID,NOR,,,
HAUGE Jens Petter,Norway,MID,NOR,,,
LANGAS Sondre,Norway,DEF,NOR,,,
FALCHENER Henrik,Norway,DEF,NOR,,,
RYERSON Julian,Norway,FWD,NOR,,,
MEJIA Luis,Panama,GK,PAN,,,
BLACKMAN Cesar,Panama,DEF,PAN,,,
CORDOBA Jose,Panama,DEF,PAN,,,
ESCOBAR Fidel,Panama,DEF,PAN,,,
FARINA Edgardo,Panama,DEF,PAN,,,
MARTINEZ Cristian,Panama,MID,PAN,,,
RODRIGUEZ Jose Luis,Panama,MID,PAN,,,
CARRASQUILLA Adalberto,Panama,MID,PAN,,,
RODRIGUEZ Tomas,Panama,FWD,PAN,,,
DIAZ Ismael,Panama,MID,PAN,,,
BARCENAS Edgar Yoel,Panama,MID,PAN,,,
SAMUDIO Cesar,Panama,GK,PAN,,,
RAMOS Jiovany,Panama,DEF,PAN,,,
HARVEY Carlos,Panama,DEF,PAN,,,
DAVIS Eric,Panama,DEF,PAN,,,
ANDRADE Andres,Panama,DEF,PAN,,,
FAJARDO Jose,Panama,FWD,PAN,,,
WATERMAN Cecilio,Panama,FWD,PAN,,,
QUINTERO Alberto,Panama,MID,PAN,,,
GODOY Anibal,Panama,MID,PAN,,,
YANIS Cesar,Panama,MID,PAN,,,
MOSQUERA Orlando,Panama,GK,PAN,,,
MURILLO Amir,Panama,DEF,PAN,,,
LONDONO Azarias,Panama,FWD,PAN,,,
MILLER Roderick,Panama,DEF,PAN,,,
GUTIERREZ Jorge,Panama,DEF,PAN,,,
FERNANDEZ Gatito,Paraguay,GK,PAR,,,
VELAZQUEZ Gustavo,Paraguay,DEF,PAR,,,
ALDERETE Omar,Paraguay,DEF,PAR,,,
CACERES Juan Jose,Paraguay,DEF,PAR,,,
BALBUENA Fabian,Paraguay,DEF,PAR,,,
ALONSO Junior,Paraguay,DEF,PAR,,,
SOSA Ramon,Paraguay,MID,PAR,,,
GOMEZ Diego,Paraguay,MID,PAR,,,
SANABRIA Antonio,Paraguay,FWD,PAR,,,
ALMIRON Miguel,Paraguay,MID,PAR,,,
MAURICIO,Paraguay,MID,PAR,,,
GILL Orlando,Paraguay,GK,PAR,,,
CANALE Jose,Paraguay,DEF,PAR,,,
CUBAS Andres,Paraguay,MID,PAR,,,
GOMEZ Gustavo,Paraguay,DEF,PAR,,,
BOBADILLA Damian,Paraguay,MID,PAR,,,
ROMERO GAMARRA Alejandro,Paraguay,FWD,PAR,,,
ARCE Alex,Paraguay,FWD,PAR,,,
ENCISO Julio,Paraguay,FWD,PAR,,,
OJEDA Braian,Paraguay,MID,PAR,,,
AVALOS Gabriel,Paraguay,FWD,PAR,,,
OLVEIRA Gaston,Paraguay,GK,PAR,,,
GALARZA Matias,Paraguay,MID,PAR,,,
CABALLERO Gustavo,Paraguay,MID,PAR,,,
PITTA Isidro,Paraguay,FWD,PAR,,,
MAIDANA Alexandro,Paraguay,DEF,PAR,,,
DIOGO COSTA,Portugal,GK,POR,,,
NELSON SEMEDO,Portugal,DEF,POR,,,
RUBEN DIAS,Portugal,DEF,POR,,,
TOMAS ARAUJO,Portugal,DEF,POR,,,
DIOGO DALOT,Portugal,DEF,POR,,,
MATHEUS NUNES,Portugal,MID,POR,,,
CRISTIANO RONALDO,Portugal,FWD,POR,,,
BRUNO FERNANDES,Portugal,MID,POR,,,
GONCALO RAMOS,Portugal,FWD,POR,,,
BERNARDO SILVA,Portugal,MID,POR,,,
JOAO FELIX,Portugal,FWD,POR,,,
JOSE SA,Portugal,GK,POR,,,
RENATO VEIGA,Portugal,DEF,POR,,,
GONCALO INACIO,Portugal,DEF,POR,,,
JOAO NEVES,Portugal,MID,POR,,,
FRANCISCO TRINCAO,Portugal,FWD,POR,,,
RAFAEL LEAO,Portugal,FWD,POR,,,
PEDRO NETO,Portugal,FWD,POR,,,
GONCALO GUEDES,Portugal,FWD,POR,,,
JOAO CANCELO,Portugal,DEF,POR,,,
RUBEN NEVES,Portugal,MID,POR,,,
RUI SILVA,Portugal,GK,POR,,,
VITINHA,Portugal,MID,POR,,,
SAMU COSTA,Portugal,DEF,POR,,,
NUNO MENDES,Portugal,DEF,POR,,,
FRANCISCO CONCEICAO,Portugal,FWD,POR,,,
MAHMOUD ABUNADA,Qatar,GK,QAT,,,
PEDRO MIGUEL,Qatar,DEF,QAT,,,
LUCAS MENDES,Qatar,DEF,QAT,,,
ISSA LAYE,Qatar,DEF,QAT,,,
JASSEM GABER,Qatar,DEF,QAT,,,
ABDULAZIZ HATEM,Qatar,MID,QAT,,,
AHMED ALAAELDIN,Qatar,FWD,QAT,,,
EDMILSON JUNIOR,Qatar,FWD,QAT,,,
MOHAMMED MUNTARI,Qatar,FWD,QAT,,,
HASSAN ALHAYDOS,Qatar,FWD,QAT,,,
AKRAM AFIF,Qatar,FWD,QAT,,,
KARIM BOUDIAF,Qatar,MID,QAT,,,
AYOUB ALOUI,Qatar,DEF,QAT,,,
HOMAM AHMED,Qatar,DEF,QAT,,,
YUSUF ABDURISAG,Qatar,FWD,QAT,,,
BOUALEM KHOUKHI,Qatar,DEF,QAT,,,
AHMED ALGANEHI,Qatar,MID,QAT,,,
SULTAN ALBRAKE,Qatar,DEF,QAT,,,
ALMOEZ ALI,Qatar,FWD,QAT,,,
AHMED FATHY,Qatar,MID,QAT,,,
SALAH ZAKARIA,Qatar,GK,QAT,,,
MESHAAL BARSHAM,Qatar,GK,QAT,,,
ASSIM MADIBO,Qatar,MID,QAT,,,
TAHSIN JAMSHID,Qatar,FWD,QAT,,,
ALHASHMI ALHUSSEIN,Qatar,DEF,QAT,,,
MOHAMED MANAI,Qatar,FWD,QAT,,,
NAWAF ALAQIDI,Saudi Arabia,GK,KSA,,,
ALI MAJRASHI,Saudi Arabia,DEF,KSA,,,
ALI LAJAMI,Saudi Arabia,DEF,KSA,,,
ABDULELAH ALAMRI,Saudi Arabia,DEF,KSA,,,
HASSAN ALTAMBAKTI,Saudi Arabia,DEF,KSA,,,
NASSER ALDAWSARI,Saudi Arabia,MID,KSA,,,
MUSAB ALJUWAYR,Saudi Arabia,MID,KSA,,,
AIMAN YAHYA,Saudi Arabia,FWD,KSA,,,
FERAS ALBRIKAN,Saudi Arabia,FWD,KSA,,,
SALEM ALDAWSARI,Saudi Arabia,FWD,KSA,,,
SALEH ALSHEHRI,Saudi Arabia,FWD,KSA,,,
SAUD ABDULHAMID,Saudi Arabia,DEF,KSA,,,
NAWAF BU WASHL,Saudi Arabia,DEF,KSA,,,
HASSAN KADISH,Saudi Arabia,DEF,KSA,,,
ABDULLAH ALKHAIBARI,Saudi Arabia,MID,KSA,,,
ZIYAD ALJOHANI,Saudi Arabia,MID,KSA,,,
KHALID ALGHANNAM,Saudi Arabia,FWD,KSA,,,
ALA ALHAJJI,Saudi Arabia,MID,KSA,,,
ABDULLAH ALHAMDDAN,Saudi Arabia,FWD,KSA,,,
SULTAN MANDASH,Saudi Arabia,FWD,KSA,,,
MOHAMMED ALOWAIS,Saudi Arabia,GK,KSA,,,
AHMED ALKASSAR,Saudi Arabia,GK,KSA,,,
MOHAMED KANNO,Saudi Arabia,MID,KSA,,,
MOTEB ALHARBI,Saudi Arabia,DEF,KSA,,,
JEHAD THIKRI,Saudi Arabia,DEF,KSA,,,
MOHAMMED ABU ALSHAMAT,Saudi Arabia,DEF,KSA,,,
GUNN Angus,Scotland,GK,SCO,,,
HICKEY Aaron,Scotland,DEF,SCO,,,
ROBERTSON Andy,Scotland,DEF,SCO,,,
McTOMINAY Scott,Scotland,MID,SCO,,,
HANLEY Grant,Scotland,DEF,SCO,,,
TIERNEY Kieran,Scotland,DEF,SCO,,,
McGINN John,Scotland,MID,SCO,,,
FLETCHER Tyler,Scotland,MID,SCO,,,
DYKES Lyndon,Scotland,FWD,SCO,,,
ADAMS Che,Scotland,FWD,SCO,,,
CHRISTIE Ryan,Scotland,MID,SCO,,,
KELLY Liam,Scotland,GK,SCO,,,
HENDRY Jack,Scotland,DEF,SCO,,,
STEWART Ross,Scotland,FWD,SCO,,,
SOUTTAR John,Scotland,DEF,SCO,,,
HYAM Dominic,Scotland,DEF,SCO,,,
GANNON-DOAK Ben,Scotland,FWD,SCO,,,
HIRST George,Scotland,FWD,SCO,,,
FERGUSON Lewis,Scotland,MID,SCO,,,
SHANKLAND Lawrence,Scotland,FWD,SCO,,,
GORDON Craig,Scotland,GK,SCO,,,
PATTERSON Nathan,Scotland,DEF,SCO,,,
McLEAN Kenny,Scotland,MID,SCO,,,
RALSTON Anthony,Scotland,DEF,SCO,,,
CURTIS Findlay,Scotland,FWD,SCO,,,
McKENNA Scott,Scotland,DEF,SCO,,,
DIOUF Yehvann,Senegal,GK,SEN,,,
SARR Mamadou,Senegal,DEF,SEN,,,
KOULIBALY Kalidou,Senegal,DEF,SEN,,,
SECK Abdoulaye,Senegal,DEF,SEN,,,
GUEYE Idrissa Gana,Senegal,MID,SEN,,,
CISS Pathe,Senegal,MID,SEN,,,
DIAO Assane,Senegal,FWD,SEN,,,
CAMARA Lamine,Senegal,MID,SEN,,,
DIENG Bamba,Senegal,FWD,SEN,,,
MANE Sadio,Senegal,FWD,SEN,,,
JACKSON Nicolas,Senegal,FWD,SEN,,,
NDIAYE Cherif,Senegal,FWD,SEN,,,
NDIAYE Iliman,Senegal,FWD,SEN,,,
JAKOBS Ismail,Senegal,DEF,SEN,,,
DIATTA Krepin,Senegal,DEF,SEN,,,
MENDY Edouard,Senegal,GK,SEN,,,
SARR Pape Matar,Senegal,MID,SEN,,,
SARR Ismaila,Senegal,FWD,SEN,,,
NIAKHATE Moussa,Senegal,DEF,SEN,,,
MBAYE Ibrahim,Senegal,FWD,SEN,,,
DIARRA Habib,Senegal,MID,SEN,,,
NDIAYE Bara Sapoko,Senegal,MID,SEN,,,
DIAW Mory,Senegal,GK,SEN,,,
MENDY Antoine,Senegal,DEF,SEN,,,
DIOUF El Hadji MalickEl Hadji Malick,Senegal,DEF,SEN,,,
GUEYE Pape,Senegal,MID,SEN,,,
WILLIAMS Ronwen,South Africa,GK,RSA,,,
MATULUDI Thabang,South Africa,DEF,RSA,,,
NDAMANE Khulumani,South Africa,DEF,RSA,,,
MOKOENA Teboho,South Africa,MID,RSA,,,
MBATHA Thalente,South Africa,MID,RSA,,,
MODIBA Aubrey,South Africa,DEF,RSA,,,
APPOLLIS Oswin,South Africa,FWD,RSA,,,
MOREMI Tshepang,South Africa,FWD,RSA,,,
FOSTER Lyle,South Africa,FWD,RSA,,,
MOFOKENG Relebohile,South Africa,FWD,RSA,,,
ZWANE Themba,South Africa,MID,RSA,,,
MASEKO Thapelo,South Africa,FWD,RSA,,,
SITHOLE Sphephelo,South Africa,MID,RSA,,,
MBOKAZI Mbekezeli,South Africa,DEF,RSA,,,
RAYNERS Iqraam,South Africa,FWD,RSA,,,
CHAINE Sipho,South Africa,GK,RSA,,,
MAKGOPA Evidence,South Africa,FWD,RSA,,,
KABINI Samukelo,South Africa,DEF,RSA,,,
SIBISI Nkosinathi,South Africa,DEF,RSA,,,
MUDAU Khuliso,South Africa,DEF,RSA,,,
OKON Ime,South Africa,DEF,RSA,,,
GOSS Ricardo,South Africa,GK,RSA,,,
ADAMS Jayden,South Africa,MID,RSA,,,
MAKHANYA Olwethu,South Africa,DEF,RSA,,,
